kernel_name,outline_strategy,opt_strategy,math_type,has_sdcss,k_size,completed,cycles,synthesized,luts,dsps,power
atax,affine_for,scalehls,soft_float,no_ssdcs,16,True,1701.0,True,7073,40,
gemver,affine_for,scalehls,soft_float,no_ssdcs,16,True,242.0,True,56083,215,
mvt,affine_for,scalehls,soft_float,no_ssdcs,16,True,112.0,True,5005,20,
doitgen,affine_for,scalehls,soft_float,no_ssdcs,2,True,19.0,True,6113,40,
doitgen,affine_for,scalehls,soft_float,no_ssdcs,4,True,33.0,True,38699,215,
doitgen,affine_for,scalehls,soft_float,no_ssdcs,8,True,96.0,True,62305,245,
doitgen,affine_for,scalehls,soft_float,no_ssdcs,16,True,96.0,True,88450,245,
two_mm,affine_for,scalehls,soft_float,no_ssdcs,8,True,124.0,True,47079,230,
two_mm,affine_for,scalehls,soft_float,no_ssdcs,16,True,788.0,True,47349,184,
three_mm,affine_for,scalehls,soft_float,no_ssdcs,8,True,188.0,True,23121,50,
three_mm,affine_for,scalehls,soft_float,no_ssdcs,16,True,827.0,True,59475,257,
bicg,affine_for,scalehls,soft_float,no_ssdcs,2,True,26.0,True,989,5,
bicg,affine_for,scalehls,soft_float,no_ssdcs,4,True,43.0,True,2022,10,
bicg,affine_for,scalehls,soft_float,no_ssdcs,8,True,78.0,True,3559,15,
bicg,affine_for,scalehls,soft_float,no_ssdcs,16,True,151.0,True,8393,30,
gemm,affine_for,scalehls,soft_float,no_ssdcs,2,True,23.0,True,4663,32,
gemm,affine_for,scalehls,soft_float,no_ssdcs,4,True,33.0,True,29085,208,
gemm,affine_for,scalehls,soft_float,no_ssdcs,8,True,64.0,True,34826,184,
gemm,affine_for,scalehls,soft_float,no_ssdcs,16,True,146.0,True,44204,249,
gesummv,affine_for,scalehls,soft_float,no_ssdcs,2,True,28.0,True,4347,28,
gesummv,affine_for,scalehls,soft_float,no_ssdcs,4,True,38.0,True,14041,96,
gesummv,affine_for,scalehls,soft_float,no_ssdcs,8,True,65.0,True,21070,118,
gesummv,affine_for,scalehls,soft_float,no_ssdcs,16,True,111.0,True,35794,153,
syr2k,affine_for,scalehls,soft_float,no_ssdcs,2,True,35.0,True,1607,8,
syr2k,affine_for,scalehls,soft_float,no_ssdcs,4,True,47.0,True,4831,22,
syr2k,affine_for,scalehls,soft_float,no_ssdcs,8,True,81.0,True,16273,78,
syr2k,affine_for,scalehls,soft_float,no_ssdcs,16,True,381.0,True,50119,193,
syrk,affine_for,scalehls,soft_float,no_ssdcs,2,True,28.0,True,1930,11,
syrk,affine_for,scalehls,soft_float,no_ssdcs,4,True,39.0,True,4957,25,
syrk,affine_for,scalehls,soft_float,no_ssdcs,8,True,74.0,True,13308,65,
syrk,affine_for,scalehls,soft_float,no_ssdcs,16,True,340.0,True,36197,134,
trmm,affine_for,scalehls,soft_float,no_ssdcs,2,True,40.0,True,3278,21,
trmm,affine_for,scalehls,soft_float,no_ssdcs,4,True,84.0,True,18561,124,
trmm,affine_for,scalehls,soft_float,no_ssdcs,8,True,182.0,True,35494,204,
trmm,affine_for,scalehls,soft_float,no_ssdcs,16,True,1199.0,True,19090,88,
